"filename", "language", "PHP", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\Controlador\cont_listaEventos.php", "PHP", 14, 0, 0, 0, 0, 7, 21
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\DAO\eventosBBDD.php", "PHP", 27, 0, 0, 0, 0, 12, 39
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\DAO\operacionesBBDD.php", "PHP", 22, 0, 0, 0, 0, 3, 25
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\Modelo\evento.php", "PHP", 103, 0, 0, 0, 0, 19, 122
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\Vista\GenericErr.php", "PHP", 20, 0, 0, 0, 0, 0, 20
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\Vista\listaEventos.php", "PHP", 88, 0, 0, 0, 0, 8, 96
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\config.php", "PHP", 4, 0, 0, 0, 0, 0, 4
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\css\Cartstyles.css", "CSS", 0, 0, 0, 54, 0, 11, 65
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\css\img.css", "CSS", 0, 0, 0, 29, 0, 4, 33
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\css\reservabtn.css", "CSS", 0, 0, 0, 33, 0, 4, 37
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\css\script.js", "JavaScript", 0, 0, 44, 0, 0, 16, 60
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\css\style.css", "CSS", 0, 0, 0, 157, 0, 21, 178
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\img\email.svg", "XML", 0, 15, 0, 0, 1, 3, 19
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\img\facebook.svg", "XML", 0, 4, 0, 0, 0, 0, 4
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\img\instagram.svg", "XML", 0, 6, 0, 0, 0, 0, 6
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\img\ticket.svg", "XML", 0, 2, 0, 0, 0, 0, 2
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\img\twitter.svg", "XML", 0, 4, 0, 0, 0, 0, 4
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\img\x.svg", "XML", 0, 2, 0, 0, 0, 0, 2
"Total", "-", 278, 33, 44, 273, 1, 108, 737